Day,Cost,Impressions,Clicks
"Nov 1, 2021",0,5,0
"Nov 2, 2021",0.8,14,4
"Nov 8, 2021",0.62,32,6
"Nov 9, 2021",2.14,40,12
"Nov 10, 2021",2.14,41,10
"Nov 11, 2021",3.58,30,12
"Nov 12, 2021",1.86,27,7
"Nov 13, 2021",0.87,10,3
"Nov 14, 2021",0.12,12,1
"Nov 15, 2021",1.89,37,8
"Nov 16, 2021",0.4,28,2
"Nov 17, 2021",634.72,423,50
"Nov 18, 2021",625.2,550,57
"Nov 19, 2021",781.82,792,68
"Nov 20, 2021",608.94,590,55
"Nov 21, 2021",729.75,795,52
"Nov 22, 2021",1469.77,1473,108
"Nov 23, 2021",2549.23,1798,130
"Nov 24, 2021",1177.55,1291,91
"Nov 25, 2021",1263.226959,3227,138
"Nov 26, 2021",2744.42608,12038,387
"Nov 27, 2021",3318.422366,36803,826
"Nov 28, 2021",2447.141396,40045,1111
"Nov 29, 2021",2026.025821,38528,1160
"Nov 30, 2021",1229.736014,10090,492
"Dec 1, 2021",1782.72912,22269,663
"Dec 2, 2021",1092.79824,10221,349
"Dec 3, 2021",1096.872312,8444,366
"Dec 4, 2021",947.952806,10778,420
"Dec 5, 2021",993.117517,11798,481
"Dec 6, 2021",1364.546644,13917,503
"Dec 7, 2021",1133.339505,9599,378
"Dec 8, 2021",1112.474916,10794,383
"Dec 9, 2021",1200.701211,21782,432
"Dec 10, 2021",1136.543423,20698,435
"Dec 11, 2021",654.128216,12842,355
"Dec 12, 2021",679.877339,14601,433
"Dec 13, 2021",1358.426091,18790,554
"Dec 14, 2021",973.078561,13293,406
"Dec 15, 2021",1034.767312,17915,493
"Dec 16, 2021",1304.640643,13032,328
"Dec 17, 2021",2557.011064,13586,426
"Dec 18, 2021",2180.876313,9083,335
"Dec 19, 2021",2607.100544,10837,427
"Dec 20, 2021",3803.08732,12652,399
"Dec 21, 2021",2727.578274,12565,383
"Dec 22, 2021",2757.922511,11527,367
"Dec 23, 2021",713.650949,8449,317
"Dec 24, 2021",598.899308,11307,265
"Dec 25, 2021",608.416442,7735,174
"Dec 26, 2021",581.470853,11021,202
"Dec 27, 2021",548.108216,12134,284
"Dec 28, 2021",533.248092,11292,281
"Dec 29, 2021",577.61339,10763,293
"Dec 30, 2021",546.800916,9425,243
"Dec 31, 2021",378.802733,6918,188
"Jan 1, 2022",457.879327,14432,245
"Jan 2, 2022",616.34973,14705,267
"Jan 3, 2022",893.401453,14220,350
"Jan 4, 2022",878.30213,9869,363
"Jan 5, 2022",822.451058,9473,380
"Jan 6, 2022",810.086329,9284,442
"Jan 7, 2022",490.673898,10575,320
"Jan 8, 2022",480.751135,6879,219
"Jan 9, 2022",522.746808,8163,254
"Jan 10, 2022",985.008222,14674,455
"Jan 11, 2022",818.674536,12979,415
"Jan 12, 2022",753.391129,8079,491
"Jan 13, 2022",695.284619,15388,355
"Jan 14, 2022",612.203799,8139,347
"Jan 15, 2022",389.794207,9049,217
"Jan 16, 2022",413.793182,9911,298
"Jan 17, 2022",923.011321,12254,441
"Jan 18, 2022",903.581549,14397,346
"Jan 19, 2022",787.877726,13527,347
"Jan 20, 2022",875.769788,14470,358
"Jan 21, 2022",750.975009,7527,408
"Jan 22, 2022",532.519922,9525,296
"Jan 23, 2022",350.875794,10086,305
"Jan 24, 2022",740.515886,16119,427
"Jan 25, 2022",703.83777,7553,405
"Jan 26, 2022",717.766658,16484,429
"Jan 27, 2022",743.44451,11387,393
"Jan 28, 2022",770.732086,9453,424
"Jan 29, 2022",489.284267,7419,317
"Jan 30, 2022",541.192838,7771,299
"Jan 31, 2022",745.725522,4884,361
"Feb 1, 2022",546.672651,8846,441
"Feb 2, 2022",115.91,2090,150
"Feb 3, 2022",105.93,1385,168
"Feb 4, 2022",107.73,2215,191
"Feb 5, 2022",83.36,1593,136
"Feb 6, 2022",54.59,681,77
"Feb 7, 2022",103.43,797,164
"Feb 8, 2022",106.3,925,137
"Feb 9, 2022",107.03,1061,155
"Feb 10, 2022",120.92,2157,195
"Feb 11, 2022",103.46,1737,155
"Feb 12, 2022",58.5,1174,96
"Feb 13, 2022",57.79,570,69
"Feb 14, 2022",162.54,1508,165
"Feb 15, 2022",161.23,1636,180
"Feb 16, 2022",143.27,1428,161
"Feb 17, 2022",130.55,1500,148
"Feb 18, 2022",76.59,1074,109
"Feb 19, 2022",78.24,1294,115
"Feb 20, 2022",42.86,1016,109
"Feb 21, 2022",91.15,1425,125
"Feb 22, 2022",84.62,1193,108
"Feb 23, 2022",64.44,933,79
"Feb 24, 2022",81.9,1159,99
"Feb 25, 2022",106.23,1043,88
"Feb 26, 2022",125.97,1283,106
"Feb 27, 2022",148.98,1068,97
"Feb 28, 2022",83.42,1017,92
"Mar 1, 2022",94.99,1019,85
"Mar 2, 2022",92.54,1245,101
"Mar 3, 2022",141.24,1355,127
"Mar 4, 2022",92.78,868,83
"Mar 5, 2022",81.27,942,74
"Mar 6, 2022",93.4,1006,85
"Mar 7, 2022",350.06,3653,260
"Mar 8, 2022",401.795798,3560,228
"Mar 9, 2022",646.982536,3381,253
"Mar 10, 2022",978.054536,4836,319
"Mar 11, 2022",613.61,2084,140
"Mar 12, 2022",696.33,3516,207
"Mar 13, 2022",480.21,2403,163
"Mar 14, 2022",853.07,3148,229
"Mar 15, 2022",723.753308,3192,242
"Mar 16, 2022",749.14,3565,240
"Mar 17, 2022",497.95,3301,242
"Mar 18, 2022",531.8,3209,207
"Mar 19, 2022",446.25719,2333,156
"Mar 20, 2022",339.08,1766,99
"Mar 21, 2022",482.68,1271,91
"Mar 22, 2022",890.613916,2568,182
"Mar 23, 2022",883.042845,3000,181
"Mar 24, 2022",1115.858184,5500,239
"Mar 25, 2022",1801.804932,13841,227
"Mar 26, 2022",1600.440627,15136,293
"Mar 27, 2022",1728.939741,8435,280
"Mar 28, 2022",1545.432694,11339,297
"Mar 29, 2022",1587.928824,10750,293
"Mar 30, 2022",1513.591332,14135,257
"Mar 31, 2022",551.536867,3879,133
"Apr 1, 2022",505.003749,11986,138
"Apr 2, 2022",489.013606,7620,190
"Apr 3, 2022",749.430181,6598,205
"Apr 4, 2022",1828.118604,9164,273
"Apr 5, 2022",1662.69715,9991,239
"Apr 6, 2022",1257.190898,6551,227
"Apr 7, 2022",1415.923035,12277,265
"Apr 8, 2022",1060.9365,11234,222
"Apr 9, 2022",732.881625,6779,175
"Apr 10, 2022",858.054165,7759,153
"Apr 11, 2022",1139.646525,15553,203
"Apr 12, 2022",1468.706389,11297,204
"Apr 13, 2022",1043.619212,6147,236
"Apr 14, 2022",868.672713,3150,201
"Apr 15, 2022",539.450336,2582,165
"Apr 16, 2022",668.290423,2890,174
"Apr 17, 2022",1024.48,1855,133
"Apr 18, 2022",1612.36682,3409,277
"Apr 19, 2022",1076.087767,3447,207
"Apr 20, 2022",1162.37088,3728,222
"Apr 21, 2022",1258.368472,3217,195
"Apr 22, 2022",759.197088,2393,171
"Apr 23, 2022",457.721662,1987,135
"Apr 24, 2022",557.976007,1942,135
"Apr 25, 2022",991.221057,2514,201
"Apr 26, 2022",1447.941925,2938,239
"Apr 27, 2022",1019.2251,2275,172
"Apr 28, 2022",935.054082,1545,158
"Apr 29, 2022",691.48,1446,143
"Apr 30, 2022",256.17,801,74
"May 1, 2022",246.34,1159,89
"May 2, 2022",343.48,1181,112
"May 3, 2022",408.42,792,123
"May 4, 2022",280.4,827,115
"May 5, 2022",952.871632,5473,307
"May 6, 2022",666.766343,2182,152
"May 7, 2022",854.341207,2715,144
"May 8, 2022",1554.054251,5372,248
"May 9, 2022",2018.123607,7688,241
"May 10, 2022",2496.110832,14528,307
"May 11, 2022",3255.362756,12688,592
"May 12, 2022",2686.127746,16558,553
"May 13, 2022",2341.414945,15613,451
"May 14, 2022",1293.981688,5861,284
"May 15, 2022",1367.889976,9088,316
