Day,Cost,Impressions,Clicks,Cost-Per-Click
"Oct 31, 2021",0,0,0,0
"Nov 1, 2021",114.983344,203,9,12.775927111111113
"Nov 2, 2021",101.09,148,12,8.424166666666666
"Nov 7, 2021",0,0,0,0
"Nov 8, 2021",362.13,1140,86,4.210813953488373
"Nov 9, 2021",267.74,1556,66,4.056666666666667
"Nov 10, 2021",176.21,1143,45,3.915777777777778
"Nov 11, 2021",194.67,1215,48,4.055625
"Nov 12, 2021",229.56,1254,45,5.101333333333333
"Nov 13, 2021",414.212271,1920,79,5.243193303797469
"Nov 14, 2021",324.794722,2368,75,4.330596293333333
"Nov 15, 2021",439.413659,2067,87,5.050731712643678
"Nov 16, 2021",369.002974,2020,91,4.054977736263736
"Nov 17, 2021",374.237869,1806,87,4.301584701149426
"Nov 18, 2021",242.059024,1829,72,3.361930888888889
"Nov 19, 2021",2442.676282,14944,300,8.142254273333334
"Nov 20, 2021",2215.400902,12382,255,8.687846674509805
"Nov 21, 2021",1875.804888,7774,290,6.468292717241379
"Nov 22, 2021",1432.491204,6013,247,5.799559530364372
"Nov 23, 2021",4464.148167,10844,389,11.475959298200515
"Nov 24, 2021",7978.217764,17356,596,13.386271416107382
"Nov 25, 2021",5973.136303,15043,516,11.575845548449614
"Nov 26, 2021",5574.293715,14872,494,11.283995374493927
"Nov 27, 2021",5239.05902,15462,499,10.49911627254509
"Nov 28, 2021",6450.714146,14898,534,12.079989037453183
"Nov 29, 2021",7237.657526,17311,583,12.414506905660378
"Nov 30, 2021",3989.865623,10161,335,11.910046635820896
"Dec 1, 2021",487.620736,7109,153,3.187063633986928
"Dec 2, 2021",867.473962,4553,135,6.425733051851852
"Dec 3, 2021",865.136784,3931,142,6.092512563380281
"Dec 4, 2021",878.657897,3860,128,6.8645148203125
"Dec 5, 2021",1161.386215,6823,182,6.3812429395604395
"Dec 6, 2021",1501.295762,8183,252,5.957522865079365
"Dec 7, 2021",1043.1419,3722,149,7.000952348993288
"Dec 8, 2021",961.585134,4185,173,5.558295572254336
"Dec 9, 2021",1016.645357,4773,141,7.210250758865248
"Dec 10, 2021",92.783846,712,13,7.137218923076923
"Dec 13, 2021",83.518609,322,26,3.2122541923076926
"Dec 14, 2021",1353.03684,4765,205,6.600179707317073
"Dec 15, 2021",1618.195514,5032,258,6.272075635658915
"Dec 16, 2021",2435.664505,7454,230,10.589845673913043
"Dec 17, 2021",2947.749122,20815,243,12.130654823045267
"Dec 18, 2021",1957.594813,13574,195,10.03894775897436
"Dec 19, 2021",2017.863721,17232,218,9.25625560091743
"Dec 20, 2021",3183.344878,11843,335,9.502522023880598
"Dec 21, 2021",2793.875106,12541,327,8.54396056880734
"Dec 22, 2021",2498.088354,7923,236,10.585120144067796
"Dec 23, 2021",707.897699,9437,149,4.750991268456376
"Dec 24, 2021",602.282416,7904,123,4.896605008130081
"Dec 25, 2021",550.643094,6682,88,6.257307886363637
"Dec 26, 2021",529.280797,6805,102,5.189027421568627
"Dec 27, 2021",728.063211,6343,136,5.353405963235295
"Dec 28, 2021",511.844549,6111,121,4.2301202396694215
"Dec 29, 2021",533.273962,9060,138,3.864304072463768
"Dec 30, 2021",670.167145,4623,156,4.295943237179487
"Dec 31, 2021",487.266461,3225,109,4.470334504587155
"Jan 1, 2022",537.588107,2617,129,4.1673496666666665
"Jan 2, 2022",557.951362,3673,147,3.7955874965986394
