Day,Cost,Impressions,Clicks,Cost-Per-Click
"Dec 14, 2021",412.622006,5849,54,7.64114825925926
"Dec 15, 2021",690.68117,25496,432,1.5987990046296296
"Dec 16, 2021",706.329646,11403,224,3.153257348214286
"Dec 17, 2021",1069.450961,13164,293,3.6500032798634816
"Dec 18, 2021",707.888405,14456,189,3.745441296296296
"Dec 19, 2021",753.886343,10654,179,4.211655547486033
"Dec 20, 2021",2027.056131,9036,309,6.560052203883495
"Dec 21, 2021",1150.851404,6549,241,4.7753170290456435
"Dec 22, 2021",1113.751399,6422,197,5.653560401015229
"Dec 23, 2021",256.729666,4990,159,1.6146519874213836
"Dec 24, 2021",263.967791,4630,110,2.399707190909091
"Dec 25, 2021",249.280006,3757,61,4.086557475409836
"Dec 26, 2021",252.96801,2740,88,2.874636477272727
"Dec 27, 2021",236.387775,2679,113,2.0919272123893804
"Dec 28, 2021",276.790748,3639,147,1.8829302585034013
"Dec 29, 2021",215.167211,2147,150,1.4344480733333334
"Dec 30, 2021",247.775167,4393,149,1.6629205838926173
"Dec 31, 2021",124.562076,2054,106,1.175113924528302
"Jan 1, 2022",159.69213,7298,138,1.1571893478260868
"Jan 2, 2022",290.965292,3216,151,1.926922463576159
"Jan 3, 2022",2423.218636,7503,519,4.6690147129094415
"Jan 4, 2022",2594.271151,7489,520,4.988982982692308
"Jan 5, 2022",2384.255744,7109,504,4.730666158730158
"Jan 6, 2022",2285.569398,11276,593,3.8542485632377743
"Jan 7, 2022",45.635827,1618,190,0.24018856315789475
"Jan 8, 2022",102.223252,6521,160,0.6388953249999999
"Jan 9, 2022",123.286031,3931,179,0.6887487765363128
"Jan 10, 2022",656.53825,12109,678,0.9683455014749263
"Jan 11, 2022",1085.567819,5168,645,1.6830508821705426
"Jan 12, 2022",2724.986476,13229,454,6.002172854625551
"Jan 13, 2022",3121.096867,7311,486,6.422010014403292
"Jan 14, 2022",2230.426376,15840,475,4.695634475789474
"Jan 15, 2022",2063.682904,2982,279,7.396712917562724
"Jan 16, 2022",2360.278261,16254,417,5.660139714628297
"Jan 17, 2022",2825.810159,5907,527,5.362068612903226
"Jan 18, 2022",2340.69,5701,477,4.907106918238994
"Jan 19, 2022",1415.02,5566,442,3.201402714932127
"Jan 20, 2022",1036.44,4126,450,2.3032
"Jan 21, 2022",1259.58,4715,397,3.1727455919395466
"Jan 22, 2022",1077.9,3054,225,4.790666666666667
"Jan 23, 2022",1370.97,3490,218,6.288853211009174
"Jan 24, 2022",3701.8,8268,708,5.2285310734463275
"Jan 25, 2022",3412.77,6056,519,6.5756647398843935
"Jan 26, 2022",2891.17,6259,490,5.9003469387755105
"Jan 27, 2022",2687.11,6894,468,5.741688034188034
"Jan 28, 2022",2116.12,5159,354,5.977740112994351
